省份编码,省份,年份,每十万人口幼儿园平均在校生数(人),每十万人口小学平均在校生数(人),每十万人口初中阶段平均在校生数(人),每十万人口高中阶段平均在校生数(人),每十万人口高等学校平均在校生数(人)
360000,江西省,2018,3490.0,9113.0,4478.0,3242.0,2771.0
360000,江西省,2017,3505.0,9209.0,4160.0,3150.0,2676.0
360000,江西省,2016,3483.2041173894,9258.8808585195,3948.3311432326,3124.8379325449,2698.1055628559
360000,江西省,2015,3660.2840158521,9297.9392338177,3883.7186261559,3307.5781594012,2653.9938353148
360000,江西省,2014,3523.8371128777,9132.419313822,3870.0242141459,3285.5964530146,2526.7649237641
360000,江西省,2013,3470.78374777975,9061.02575488455,3895.1176731794,3335.84147424512,2380.59724689165
360000,江西省,2012,3389.0,9672.0,4334.0,3422.0,2295.0
360000,江西省,2011,3261.23038995966,9727.1515015688,4503.90183774092,3391.53518601524,2211.81532944868
360000,江西省,2010,2787.0,9612.0,4514.0,3469.0,2162.0
360000,江西省,2009,2552.58636363636,9607.87272727273,4302.31590909091,3616.33409090909,2117.825
360000,江西省,2008,2116.50183150183,9705.28388278388,3996.45604395604,3619.58104395604,2061.97344322344
360000,江西省,2007,,,,,
360000,江西省,2006,,,,,
360000,江西省,2005,,,,,
360000,江西省,2004,,,,,
360000,江西省,2003,,,,,
360000,江西省,2002,,,,,
360000,江西省,2001,,,,,
360000,江西省,2000,,,,,
370000,山东省,2019,3365.0,7351.0,3592.0,2719.64865133871,2855.0
370000,山东省,2018,3074.0,7255.0,3455.0,2723.0,2588.0
370000,山东省,2017,2787.0,7122.0,3311.0,2796.0,2519.0
370000,山东省,2016,2794.560779933,7020.55854575,3208.2146846755,2837.278358891,2620.2995836295
370000,山东省,2015,2776.4214935131,6891.6722852181,3175.1220757994,2941.0787618756,2515.8187761773
370000,山东省,2014,2700.3407856872,6662.3694314109,3234.1804859355,3099.2398331928,2420.7927556586
370000,山东省,2013,2709.65926690759,6463.41765616933,3283.22147651007,3213.09757356737,2303.88229220444
370000,山东省,2012,2613.0,6513.0,3405.0,3325.0,2238.0
370000,山东省,2011,2524.02377972466,6717.50312891114,3599.8925740509,3257.11410095953,2191.35794743429
370000,山东省,2010,2317.0,6644.0,3681.0,3224.0,2202.0
370000,山东省,2009,1921.45142467583,6656.01243677812,3630.02177922807,3330.2744012836,2152.97704314326
370000,山东省,2008,1869.66691576812,6757.49759795025,3563.37674815843,3537.99402156507,2071.13910536992
370000,山东省,2007,,,,,
370000,山东省,2006,,,,,
370000,山东省,2005,,,,,
370000,山东省,2004,,,,,
370000,山东省,2003,,,,,
370000,山东省,2002,,,,,
370000,山东省,2001,,,,,
370000,山东省,2000,,,,,
410000,河南省,2019,4486.0,10541.0,4877.0,3685.43883394066,2913.0
410000,河南省,2018,4582.0,10405.0,4727.0,3631.0,2653.0
410000,河南省,2017,4458.0,10303.0,4502.0,3551.0,2455.0
410000,河南省,2016,4311.0105485232,10185.5432489451,4386.3628691983,3458.3006329114,2352.0537974684
410000,河南省,2015,4168.7823230182,9930.6305637982,4290.0625264943,3453.5555320051,2292.7999152183
410000,河南省,2014,3922.3082112107,9864.7165992978,4242.4917802908,3479.6836407868,2202.6090605364
410000,河南省,2013,3688.65192430364,9993.37763129917,4093.65617690836,3571.30554964916,2113.57856687221
410000,河南省,2012,3406.0,11495.0,4834.0,3911.0,2012.0
410000,河南省,2011,3000.63583200425,11620.3721424774,4975.84263689527,4026.16267942584,1900.60712387028
410000,河南省,2010,2073.0,11284.0,4948.0,4024.0,1839.0
410000,河南省,2009,1820.40619365786,11157.3433025772,5029.72531551596,4149.46866051543,1774.3748011454
410000,河南省,2008,1757.6858974359,11074.7681623932,5173.07051282051,4078.69017094017,1648.04914529915
410000,河南省,2007,,,,,
410000,河南省,2006,,,,,
410000,河南省,2005,,,,,
410000,河南省,2004,,,,,
410000,河南省,2003,,,,,
410000,河南省,2002,,,,,
410000,河南省,2001,,,,,
410000,河南省,2000,,,,,
420000,湖北省,2019,3005.0,6363.0,2795.0,2238.77471691736,3248.0
420000,湖北省,2018,2949.0,6211.0,2690.0,2153.0,3088.0
420000,湖北省,2017,2991.0,6025.0,2527.0,2156.0,3000.0
420000,湖北省,2016,2904.1678058783,5914.7932330827,2417.7443609023,2239.1558441558,2949.7505126453
420000,湖北省,2015,2795.3799862448,5773.8909903714,2347.5223521321,2294.1764099037,3038.4129986245
420000,湖北省,2014,2652.5262976375,5538.1927918607,2372.7194343852,2393.4436971892,3121.1398516986
420000,湖北省,2013,2549.5258695276,5680.18515314068,2567.41650804637,2607.35075272539,3144.08548191729
420000,湖北省,2012,2354.0,5675.0,2740.0,2984.0,3078.0
420000,湖北省,2011,2312.69902234637,6587.71997206704,3562.6780726257,3596.69867318436,2991.34427374302
420000,湖北省,2010,1955.0,6391.0,3813.0,4155.0,2906.0
420000,湖北省,2009,1455.78532656277,6290.71791279986,4146.62756084749,4480.39572754334,2829.41691472597
420000,湖北省,2008,1302.91454641165,6330.48605018424,4597.53114581506,4574.8815581681,2724.12177575013
420000,湖北省,2007,,,,,
420000,湖北省,2006,,,,,
420000,湖北省,2005,,,,,
420000,湖北省,2004,,,,,
420000,湖北省,2003,,,,,
420000,湖北省,2002,,,,,
420000,湖北省,2001,,,,,
420000,湖北省,2000,,,,,
430000,湖南省,2019,3299.0,7664.0,3598.0,2930.38701261052,2873.0
430000,湖南省,2018,3283.0,7609.0,3505.0,2891.0,2610.0
430000,湖南省,2017,3357.0,7500.0,3366.0,2905.0,2419.0
430000,湖南省,2016,3316.034203155,7398.0701754386,3317.8578799941,2787.4863629662,2250.8934099956
430000,湖南省,2015,3215.4653406561,7256.3425857207,3301.3774677156,2719.6170402256,2214.5020038593
430000,湖南省,2014,3036.6290018832,7082.1794756823,3297.6773383553,2711.8389979972,2160.1351149374
430000,湖南省,2013,2880.35698147311,7046.39554149721,3227.66531104082,2796.89411055882,2106.15152884471
430000,湖南省,2012,2675.0,7183.0,3201.0,2950.0,2087.0
430000,湖南省,2011,2492.14611872146,7462.85388127854,3292.84931506849,3031.72754946728,2054.25875190259
430000,湖南省,2010,2215.0,7480.0,3355.0,3048.0,2051.0
430000,湖南省,2009,1893.25862068966,7353.4012539185,3359.74137931034,3204.92163009404,2040.41065830721
430000,湖南省,2008,1667.14398111723,7213.86467348544,3373.92132179386,3348.90165224233,1965.77970102282
430000,湖南省,2007,,,,,
430000,湖南省,2006,,,,,
430000,湖南省,2005,,,,,
430000,湖南省,2004,,,,,
430000,湖南省,2003,,,,,
430000,湖南省,2002,,,,,
430000,湖南省,2001,,,,,
430000,湖南省,2000,,,,,
440000,广东省,2019,4094.0,9108.0,3429.0,2855.39220870791,2751.0
440000,广东省,2018,4021.0,8849.0,3335.0,2917.0,2542.0
440000,广东省,2017,4013.0,8564.0,3238.0,3128.0,2454.0
440000,广东省,2016,3886.6881740253,8343.8233938612,3206.2309890313,3344.1257258734,2431.2987372108
440000,广东省,2015,3751.2532637076,8102.1866840731,3313.2879522566,3588.9276389407,2434.0302126072
440000,广东省,2014,3563.867906802,7815.8089064262,3539.5574971815,3802.1824502067,2355.9592258549
440000,广东省,2013,3346.94827260714,7626.37436284689,3820.94204266566,4238.94657353219,2198.8266943553
440000,广东省,2012,3148.0,7694.0,4212.0,4417.0,2082.0
440000,广东省,2011,2948.09309453118,7873.3617469591,4588.22430801647,4384.14902787089,1978.06723493918
440000,广东省,2010,2876.0,8804.0,5189.0,4446.0,2037.0
440000,广东省,2009,2613.88202011735,9300.6307627829,5277.38055322716,3950.2640402347,1952.41512992456
440000,广东省,2008,2459.00201079479,10122.4891522912,5269.1554661869,3550.02010794793,1820.51328182876
440000,广东省,2007,,,,,
440000,广东省,2006,,,,,
440000,广东省,2005,,,,,
440000,广东省,2004,,,,,
440000,广东省,2003,,,,,
440000,广东省,2002,,,,,
440000,广东省,2001,,,,,
440000,广东省,2000,,,,,
450000,广西壮族自治区,2019,4401.0,10049.0,4476.0,3843.15062931385,2887.0
450000,广西壮族自治区,2018,4499.0,9760.0,4353.0,3756.0,2602.0
450000,广西壮族自治区,2017,4423.0,9586.0,4206.0,3686.0,2383.0
450000,广西壮族自治区,2016,4371.0508757298,9411.4095079233,4144.1618015013,3601.6034195163,2278.7322768974
450000,广西壮族自治区,2015,4352.1560790913,9257.5452250736,4129.2848127892,3610.8308792596,2178.0753050063
450000,广西壮族自治区,2014,4181.7164653528,9150.377198559,4134.0199194745,3676.3403263403,2051.9093028184
450000,广西壮族自治区,2013,3881.04442545921,9104.2802221273,4166.51217428449,3727.18282785135,1939.44468175993
450000,广西壮族自治区,2012,3572.0,9182.0,4233.0,3790.0,1834.0
450000,广西壮族自治区,2011,3129.13232104121,9262.47722342733,4356.43600867679,3756.13882863341,1688.22125813449
450000,广西壮族自治区,2010,2441.0,8856.0,4127.0,3432.0,1530.0
